Player,1969-1970,1970-1971,1971-1972,1972-1973,1973-1974,1974-1975,1975-1976,1976-1977,1977-1978,1978-1979,1979-1980,1980-1981,1981-1982,1982-1983,1983-1984,1984-1985,1985-1986,1986-1987,1987-1988,1988-1989,1989-1990,1990-1991,1991-1992,1992-1993,1993-1994,1994-1995,1995-1996,1996-1997,1997-1998,1998-1999,1999-2000,2000-2001,2001-2002,2002-2003,2003-2004,2004-2005,2005-2006,2006-2007,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023
Isiah Thomas,,,,,,,,,,,,,1225.0,3079.0,4827.0,6547.0,8156.0,9827.0,11404.0,12862.0,14354.0,15130.0,16575.0,17966.0,18822.0,18822.0,18822.0,18822.0,18822.0,18822.0,18822.0,18822.0,18822.0,18822.0,18822.0,18822.0,18822.0,18822.0,18822.0,18822.0,18822.0,18822.0,18822.0,18822.0,18822.0,18822.0,18822.0,18822.0,18822.0,18822.0,18822.0,18822.0,18822.0,18822.0
Lou Hudson,5846,7885,9784,11813,13464,13706,15081,16049,17172,17940,17940,17940,17940,17940,17940,17940,17940,17940,17940,17940,17940,17940,17940,17940,17940,17940,17940,17940,17940,17940,17940,17940,17940,17940,17940,17940,17940,17940,17940,17940,17940,17940,17940,17940,17940,17940,17940,17940,17940,17940,17940,17940,17940,17940
Tom Chambers,,,,,,,,,,,,,1392.0,2783.0,4266.0,6005.0,7228.0,9137.0,10811.0,12896.0,15097.0,16608.0,17736.0,18628.0,19521.0,20024.0,20024.0,20043.0,20049.0,20049.0,20049.0,20049.0,20049.0,20049.0,20049.0,20049.0,20049.0,20049.0,20049.0,20049.0,20049.0,20049.0,20049.0,20049.0,20049.0,20049.0,20049.0,20049.0,20049.0,20049.0,20049.0,20049.0,20049.0,20049.0
Kevin Durant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1624.0,3495.0,5967.0,8128.0,9978.0,12258.0,14851.0,15537.0,17566.0,19121.0,20913.0,22940.0,22940.0,23883.0,25526.0,26542.0
Rudy Gay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,846.0,2478.0,3971.0,5538.0,6607.0,7839.0,9205.0,10662.0,12094.0,13298.0,13860.0,14515.0,15461.0,16187.0,16903.0,17349.0,17454.0
George Gervin,,,,,,,,1895.0,4127.0,6492.0,9077.0,11298.0,13849.0,15892.0,17859.0,19383.0,20708.0,20708.0,20708.0,20708.0,20708.0,20708.0,20708.0,20708.0,20708.0,20708.0,20708.0,20708.0,20708.0,20708.0,20708.0,20708.0,20708.0,20708.0,20708.0,20708.0,20708.0,20708.0,20708.0,20708.0,20708.0,20708.0,20708.0,20708.0,20708.0,20708.0,20708.0,20708.0,20708.0,20708.0,20708.0,20708.0,20708.0,20708.0
Jamaal Wilkes,,,,,,1164.0,2625.0,3968.0,4628.0,6152.0,7796.0,9623.0,11357.0,12928.0,14222.0,14569.0,14644.0,14644.0,14644.0,14644.0,14644.0,14644.0,14644.0,14644.0,14644.0,14644.0,14644.0,14644.0,14644.0,14644.0,14644.0,14644.0,14644.0,14644.0,14644.0,14644.0,14644.0,14644.0,14644.0,14644.0,14644.0,14644.0,14644.0,14644.0,14644.0,14644.0,14644.0,14644.0,14644.0,14644.0,14644.0,14644.0,14644.0,14644.0
Eddie Johnson,,,,,,,,,,,,,690.0,2311.0,4105.0,5981.0,7511.0,9027.0,10321.0,11825.0,12905.0,14259.0,15645.0,16822.0,17658.0,17658.0,18133.0,18557.0,19190.0,19202.0,19202.0,19202.0,19202.0,19202.0,19202.0,19202.0,19202.0,19202.0,19202.0,19202.0,19202.0,19202.0,19202.0,19202.0,19202.0,19202.0,19202.0,19202.0,19202.0,19202.0,19202.0,19202.0,19202.0,19202.0
Clyde Drexler,,,,,,,,,,,,,,,628.0,2005.0,3394.0,5176.0,7361.0,9484.0,11187.0,12954.0,14857.0,15833.0,17136.0,18789.0,19794.0,20908.0,22195.0,22195.0,22195.0,22195.0,22195.0,22195.0,22195.0,22195.0,22195.0,22195.0,22195.0,22195.0,22195.0,22195.0,22195.0,22195.0,22195.0,22195.0,22195.0,22195.0,22195.0,22195.0,22195.0,22195.0,22195.0,22195.0
Mitch Richmond,,,,,,,,,,,,,,,,,,,,1741.0,3461.0,5301.0,7104.0,8091.0,9914.0,11781.0,13653.0,15748.0,17371.0,18354.0,19639.0,20237.0,20497.0,20497.0,20497.0,20497.0,20497.0,20497.0,20497.0,20497.0,20497.0,20497.0,20497.0,20497.0,20497.0,20497.0,20497.0,20497.0,20497.0,20497.0,20497.0,20497.0,20497.0,20497.0
Shaquille O'Neal,,,,,,,,,,,,,,,,,,,,,,,,1893.0,4270.0,6585.0,8019.0,9355.0,11054.0,12343.0,14687.0,16812.0,18634.0,20475.0,21914.0,23583.0,24764.0,25454.0,26286.0,27619.0,28255.0,28596.0,28596.0,28596.0,28596.0,28596.0,28596.0,28596.0,28596.0,28596.0,28596.0,28596.0,28596.0,28596.0
Chris Webber,,,,,,,,,,,,,,,,,,,,,,,,,1333.0,2418.0,2774.0,4219.0,5774.0,6613.0,8447.0,10345.0,11667.0,13209.0,13639.0,14945.0,16463.0,17147.0,17182.0,17182.0,17182.0,17182.0,17182.0,17182.0,17182.0,17182.0,17182.0,17182.0,17182.0,17182.0,17182.0,17182.0,17182.0,17182.0
Walt Frazier,3678,5414,7202,8850,10493,12168,13294,14617,15442,15571,15581,15581,15581,15581,15581,15581,15581,15581,15581,15581,15581,15581,15581,15581,15581,15581,15581,15581,15581,15581,15581,15581,15581,15581,15581,15581,15581,15581,15581,15581,15581,15581,15581,15581,15581,15581,15581,15581,15581,15581,15581,15581,15581,15581
Charles Barkley,,,,,,,,,,,,,,,,1148.0,2751.0,4315.0,6579.0,8616.0,10605.0,12454.0,14184.0,16128.0,17530.0,19091.0,20740.0,21756.0,22792.0,23468.0,23757.0,23757.0,23757.0,23757.0,23757.0,23757.0,23757.0,23757.0,23757.0,23757.0,23757.0,23757.0,23757.0,23757.0,23757.0,23757.0,23757.0,23757.0,23757.0,23757.0,23757.0,23757.0,23757.0,23757.0
